,summary
263,  Work with large transactional volumes  terabyte size  from multiple sources and understand businesscontext Extraction  Transform and Load data from different sources such as Hive   mpala  Redshift  Oracle andTeradata Develop and implement scalable models  analyzing transactional datasets in order to generate predictionsand insights to understand better transactional behaviors of every customer  Models using R and Python  Reporting and visualization using R and Tableau Team work with business areas in order to understand their problems or objectives and find the best strategy through analyzing data and machine learning models Business intelligence for credit products such as pricing for credit cards and monetization for games  
264,Data scientist with a penchant for finding hard questions to answer  and seeking the data to answer        them ig proponant of Python  and amateur space enthusiast   
265,Data scientist adept at working with ambiguity and defining problems from informal business objectives ill tune out all else when given interesting data sets to look at & challenging problems to        consider nterests include predictive modeling  natural language processing  and algorithmic bias      
266,  am a Data Science consultant and trainer ith Catalit    help companies acquire skills and knowledge in data science and harness machine learning and deep learning to reach their goals ith Data Weekends   train people in machine learning  deep learning and big data analytics  served as lead instructor in Data Science at General Assembly and The Data  ncubator and   was Chief Data Officer and co ­founder at Spire  a Y Combinator ­backed startup that invented the first consumer wearable device capable of continuously tracking respiration and activity  earned a joint PhD in biophysics at University of Padua and Université de Paris V  and graduated from Singularity University summer program of 2011  
267,Data scientist with a passion for using statistics and machine learning to solve complex problems and deliver valuable insights from data nthusiastic about explaining the value of data driven analytics to        non technical users  a data science evangelist   
268, nterdisciplinary background in Data Science and Business xperience combining Statistics  Machine Learning  and business concepts to help drive strategy and operations  Softwares and Tools  Python  Spark  Hadoop  Hive  Pandas  SQL  R  Shinny  Excel  Tableau  Google Analytics  Google Adwords  Baidu Analytics  Qualtrics  PowerPoint Prezi  Redshift  S3  QlickSense  AWS  Tensorflow Statistics and Data Science AP s  Web Scraping  Exploratory Analysis  Predictive and Regression Modeling  Marketing Mix Modeling  MMM   Machine Learning  Text Mining NLP   Hypothesis Test  Conjoint Analysis  CHA D  PCA  CART Model  Clustering  Decision Tree and Random Forest  ETL process Business Experience Revenue Analysis  Pricing Modeling  Financial Analysis  Market Segmentation  A B Testing  Business Plan  Product Analysis  Marketing Research  Economic Value Analysis   
269,  m a highly motivated and innovative data scientist  define myself as a person who can not only use technology but also have deep understanding of business world Specialties   nformation Retrieval         Data Modeling  Data Manipulation   nformation Visualization  
270,      cottcronin m  s   github m jscottcronin    am a data scientist with a strong background in statistics  analytics  modeling  machine learning  and experimental design  use        machine learning to detect patterns  build models  and extract insight from large datasets oreover      
271,Experienced data scientist on Airbnb Trips and Experiences  
272,Khushboo has 5 years of experience in the field of Data and Business Analytics   She has worked in Financial and telecommunication domain orked on developing statistical model  data science  reporting  dashboards and database modeling e completed her Masters in  nformation systems and like to learn about new technologies which can solve business problems with the help of data me of her skills  Languages   R  Python  Pandas  Numpy  Scikit Learn  Gensim   SQL  Shell & Perl Scripting  SASMachine Learning  Linear & Logistic Regression  Decision Tree  Bagging  Random Forest   Boosting  GBM  XGBoost   SVM k Means  Neural Networks PCA  KNN  Gradient Descent  Clustering k means  hierarchical clustering   Market Basket  Recommendation   Collaborative  Hybrid   Neural NetworkBig Data   Apache Spark  Hadoop MapReduce   Kafka  GraphLab NLP   Sentiment Analysis Nltk Vader   Topic Modeling Gensim LDA   Word2VectorSAS  Reporting  Proc SQL  Macros  Hypothesis Testing  Regression Multivariate Factor Analysis Data Visualization  Tableau  SAS Enterprise Guide  Proc GKP   Proc Chart  Visual Analytics  R ggplot2  Python  Matplotlib Seaborn Databases   Microsoft SQL Server  MySQL  SQLite  HiveOut of interest  she has worked on Data Mining  Data Modeling  ML  Deep Learning  NLP  Text Mining  Topic Modeling and BigData e likes to learn about new cryptocurrencies and their usage as well closely follows the news and market  
273,Linda is enthusiastic about data science s a proficient user of SQL  Python and Tableau  she is good at data analysis  data modeling  and data visualization ombing all the technical skills with business acumen and problem solving  she can well tackle business questions and communicate the story behind the numbers to various levels of audience n addition  Linda is a result driven and detail oriented person with expertise in risk management and marketing kills & Specialties Teradata SQL  MySQL  Python  R  Tableau  SAS  Excel  Shell  Hadoop  MapReduceData Modeling  Regression  Decision Tree  Naive Bayes  SVM  Time Series   Statistical Analysis  Hypothesis and Testing   Financial Analysis  
274,  am a data scientist   build predictive models to forecast client activities  leverage massive structured  unstructured  transactional and real time data sets from a variety of sources and analyze customer usage patterns in order to make actionable recommendations for customer care  using statistics  data mining  machine learning  and business understanding  
276,Experienced data enthusiast with strengths in R  Spotfire  SQL and HTML articularly interested in        gaining insight from data and bringing insights to life through intuitive visualization techniques   
279,Data enthusiast exploring different genres of data Contact  nfo  ✉ varshini ddanti gmail m  
280,Highly driven database master building analytical solutions for future  is a mathematician turned data scientist he worked closely in business domains such as Social Networking  Search  Cloud Backup  Sales and Marketing Emails  and Video Marketing he is passionate about using her numeric skills and database expertise to help business build their data solutions that is fundamental for data driven decision making Expert in Database Architecting and Developing ata Warehousing ata Mining  Machine Learning ata Visualization Having programmed using  Hive  Presto  Python  R  Excel  Tableau  SPSS  MSSQL  MySQL  Hive  Spark  Scala  Elasticsearch  
281,Highly motivated  detail oriented  bilingual data scientist with strong research  analytical  quantitative and programming skills as well as excellent communication  presentation and leadership skills gained        through full time employment  internship  academic and research experience   
282,Data Science professional with solid background in applied statistics  machine learning and database operation xtensive experience and proven success record in performing analytics in many e commerce clients ybrid skillsets in modeling  programing and cloud architecture solution xperienced in coordinating cross functional programs across multiple business sectors rofound financial knowledge with comprehensive insight of the market ompetency in problem solving and time management  
284,Data is my passion  with a MS in computational physics and worked as a data scientist for 3 years    have both the knowledge and experience to succeed ill set Programming Languages         Python  C    Tensorflow  Keras  Java  R  Matlab  HTML  CSS  Databases related                    SQL PostgreSQL  MongoDB  Hadoop  Spark  AWS RDS Environment and Packages     Linux  Bash  Scikit learn  Pandas  Numpy  NLTK  MP    
286,Recent PhD Graduate in Machine Learning from University of Minnesota urrently working as Data        Scientist in Seattle xperienced in predictive modeling to solve real life problems   
287,A highly motivated Data Scientist who knows how to make sense of data and translate it into actionable insights years of experience in Machine Learning   Predictive Modelling  Business  ntelligence  Database Design  Data Warehousing and Product Development orked in multiple client facing roles  especially on Production Release front at TCS  client  Marks and Spencer  orked closely with a center of Excellence to deliver products at TCS that improved customer perception and product value oficient with the prevailing analytical tools and   have worked in all the aspects of Data life cycle such as Collection   Warehousing   Mining   Analysis   Modelling   Prediction   ReportingTechnical Skills   Programming     R Programming  Base SAS  Python  SQL  PL SQL  Java  C  C    Statistical Tools           R Studio  SAS Enterprise Miner   BM SPSS Modeler  MS Excel  Weka  Web Technologies   HTML  CSS  JavaScript  Big Data                              Hadoop  HDFS  MapReduce  Hive  Pig  Mongo DB  NoSQL  Databases            SQL Server 2005 08  Oracle 10g    Visualization tools    Tableau  Lumira  Xcelsius  Crystal Reports  Project Management     MS Office  Word  Excel  PowerPoint Key Strengths   Machine Learning    Advanced ML algorithms   Marketing Analytics   Segmentation   Latent Class Analysis   Sentiment Analytics   Strong Analytical & Problem solving skills   SDLC   Business Analysis   Reporting   Team player   Excellent Time Management   Organizational Skills   Customer  nteraction For any communication  contact me at  1 469  740 9928Email  amarendar wala gmail m   
289,Working as a Data Scientist at Microsoft ork on machine learning algorithms for deep learning  predictive modeling  sentiment analysis  recommender systems  statistical modeling  natural language        processing  text mining of unstructured big data   
290,Machine Learning   Data Science   Operations Research   Artificial  ntelligence   Big Data   Deep        Learning  
292,  am a New York based Data Scientist with a background in luxury consumer goods  business intelligence & data analytics  am unsatisfied by merely discovering the  what     have an innate desire to understand  why  y curiosity and strong sense of ownership push me to deliver actionable solutions from complex data  
293,  help people get jobs We are hiring data scientists in SF  Come worth with us    have a diverse skill set that   have acquired across academia and industry   ve worked designing A  algorithms scheduling instruments on NASA satellites   developed software for a small PR firm  written web applications for a fortune 200 company  researched unsupervised machine learning  and now   work as a data scientist for  ndeed m helping jobseekers find quality careers  
294,  love working with data to drive business value   
296,Experienced  and sound Knowledge of Machine Learning and had good experience as a Data Scientist        using R  Python and creating Dashboards using Tableau   
297,  am a data science professional with an interest in deep learning and artificial intelligence articularly    am passionate about developing strategy about how the latest research advancements in these areas        can be used to solve business problems   
298,  Experience working with large data sets using Python  Pandas  Scikit Learn etc   SQL  NoSQL  Hive etc  Experience with Machine Learning models and visualization techniques  Tableau  PowerB   Bokeh  d3 js etc   5  years of doctoral experience with the scientific method and data analysis  Versatile researcher capable at working simultaneously on independent as well as collaborative projects  Strong analytical skills with a proven track record of research acumen  via publications   Practiced writer and speaker for technical and non technical audiences  Abundant leadership experience in academic research as well as extra curricular and social undertakings   
299,Self motivated  constantly innovating and searching for unique ways to solve problems leveraging new technologies  am very passionate about programming and love solving mundane task with automated solutions  am fascinated with machine learning and predictive algorithms and   am constantly expanding my expertise in these fields  
300,  have been collecting data to learn about the world around me since before   can remember y mom likes to tell the story of when   was a child  and decided to see what happened when dropping an egg on the kitchen floor  opened the fridge and released the first one  and after it inevitably broke    grabbed and dropped another one  one data point  after all  is not enough to form a conclusion  s an adult    prefer to collect and examine data to create value for businesses  rather than to create a yolky mess on the floor pproaching college graduation    wasn’t exactly sure what to do with a degree in math and physics fter stumbling into an internship in a new field  at the time  called “data science”  it was fulfilling to realize   love using my skills not only to uncover secrets in often messy  confusing piles of data  but to use that knowledge to shape how businesses run ince then    have spent the last four years learning and growing as a data scientist  expanding my technical repertoire to include Python  R and SQL  and applying my skills across a variety of industries oking forward    hope my career continues to be filled with challenges and opportunities to learn and to lead urrently    am pursuing a second B  in Computer Science while progressing in my career  in order to become a better rounded data scientist and multi disciplinary leader  am excited to apply those skills on the Communications team at Google   
302,  graduated from New York University with a Master s Degree in Computer Science in May 2015  am a Data Scientist with interests in Machine Learning  Deep Learning and Big Data   have experience        solving machine learning problems from various fields like Electrical Engineering  Medical   Health Ca     
303,Data  
304,Having fun thinking about data quality and security  
306,  am a Data Scientist with a background in pure mathematics and creative writing  with experience in data science projects in graduate research and fellowship  m now at Metis  strengthening my foundations and building my network  m looking to eventually use my skills in the public or non profit sphere  using data to make the world a better place  
308,* Ph  in Engineering  with 5 years  industry experience in data analysis  modeling  optimization  simulation and visualization Proficiency in machine learning techniques including exploratory data analysis  linear & polynomial regression  logistic regression  naive bayes  SVM  random forest  gradient boost decision tree  artificial neural network  clustering & outlier detection  k means  PCA  model ensemble and  recommendation system etc Extensive experience in Python and related package  Numpy  Pandas  Scikit learn  Xgboost  Keras   for data analysis and model development  and big data platform and tools  HDFS  Hive  Spark* Rich experience in presenting the insight from obscure data to broad audience including industrial clients  engineers  scientists Strong commitment to team environment with the ability to work independently in solving difficult problems  
309,Graduate Student  
310,Data scientist with deep experience in qualitative and quantitative analysis of user   consumer behavior     statistical modeling and factor analysis   survey design  user testing  and targeted   expert        focus groups   A B testing protocols and data interpretation   data visualization   communication of r     
311,Opinion   Data   Data   Story  ’m a hungry Duke data science undergrad ’m a storyteller with R  Python  Tableau  and SQL    aspire to be a business decision maker  look forward to failing  and        failing fast  My portfolio    mescwang m  
312,  m a data scientist hat means   love using data to make better decisions  whether through predictive modeling  randomized experimentation  or lucid visualization bsite    sonkgoodman mBlog   s   medium m  jasonkgoodmanGithub  github m NosajGithubExperience includes Python  R  SQL  Git  Airflow  Unix  and AWS   
313,Who am  ?=========  am a Data Science Leader and a Data Strategist  and   take great pleasure in envisioning the future of Data Science and evangelizing it  am particularly skilled in growing and managing early stage data teams  and   am highly comfortable managing hybrid teams  including product managers  data scientists  data analysts and engineers across the board  Front End  Backend  Systems  etc  am a keynote speaker and have spoken at most major conferences in the field  like to evangelize not only the role of Data Science in the  ndustry  but also the key role that women have to play in Tech  am proud to say that   have inspired many young women to start a career in STEM  am also a sought after consultant and have advised countless companies on how to establish a winning data strategy  and how to avoid the common pitfalls when building a data function  am able to instill a data centric mindset in even the most skeptical environments  a people manager    believe first and foremost that the best leaders should remain hands on in order to be able to jump in when needed  and to fully understand the challenges of their team members  strongly oppose micro management and believe in empowerment through trust and partnership  value complete transparency  and   am not scared to say aloud what others keep to themselves nally  if you believe a Data Scientist is meant to run SQL queries or make pie charts all day  then you probably shouldn t contact me    Please find below a sample of my work================================   
314, s     ggle m jeremyachin    tarobot m  
315,Mathematician  Data Scientist  Behavorialist  Former President of the Maryland Black Caucus Foundation  Former Teacher ormer Volunteer Firefighter and Marine Corps Officer Candidate ormer College Quarterback spiring Beef Cattle Rancher and Astrophysicist    ve worked in multiple industries    m interested in a variety of topics    m willing to engage    
316,  am a data scientist at Lyft and have a strong background of Mathematical Modeling and Statistical methodologies y interest lies in applying Operations Research &  ndustrial Engineering techniques        and Statistical models to solve real world problems  received my PhD in  SYE Department at Georgia     
317,Data Scientist with experience in machine learning  cloud technologies  and business intelligence   
319,With an insatiable curiosity since childhood    habitually tried to understand the  why  and  how  in everything y knowing the underlying causes behind where things came from    feel more prepared for the future and able to replicate the past ombining that with my lifelong passion of technology    am always looking for methods to streamline processes by uncovering actionable insights and presenting them clearly in simple ways u can follow along my journey of becoming a data scientist at   stindchien m   am always looking to learn about others and share my own experiences eel free to contact me     would love to discuss my work and hear about yours    
320,13  yrs exp that includes Data Science  Algorithms development  Python  R  Spark  Blockchain  Ethereum  Hyperledger  JavaScipt  Visualization  Cloud Computing  Deep Learning lients worked for  Barclays  Credit Suisse  UBS Wealth Management   State Street Global Advisors  Jefferies  Morgan Stanley  PNC Bank  World Bank   Lockheed Martin  Fannie Mae  T Rowe Price  National Geographic  State Farm  nsurance  Voice of America se Machine Learning to solve business problems  meet long term Strategic goals orked with Sales  Customer Feedback  Compliance  Operations   T teams erform Data Science  Machine Learning  ETL  Visualization rtifications from Harvard University  University of Berkeley  ursuing Blockchain Certification  in Business  ntelligence  2008  from Stevens  nstitute of Technology  New Jersey y interest  Blockchain  Deep Learning  Machine Learning  Spark  
321,  currently work as a Senior Data Scientist for the  Content  nsights team at Spotify in NYC  am passionate about connecting people  the creative industry  and how data and technology can solve problems am a graduate of Swarthmore College  14  with majors in computer science and statistics riginally    am from Northbrook   llinois and attended Glenbrook North High School love consuming  criticizing  and creating music hile my main focus of study is jazz piano    m an avid fan and creator of hip hop  soul  and pop music  
323,Skilled at data analysis with SQL  Python and R Solid foundation in statistics and machine learning algorithms including Linear Regression  Logistic Regression  KNN  Decision Tree  Random Forest  Boosting  SVM   PCA  NMF  Time Series  Naive Bayes  Neural Networks etc amiliarity with Hadoop  Spark and other big data tools Proficient in Python  R  SQL  Java  Javascript  HTML  CSS etc  
327,Curious riven daptable eam player who loves to learn and loves to teach  live & breathe data and excel at answering business questions with the tools of data science             tthewchatham m  
330,Building something new and exciting  
331,Goal oriented and result driven problem solver with proven leadership and interpersonal skills who        incorporates new skills and technologies in goal acquisition   
332, ’m currently working as a data scientist for JPMorgan  n this role   work to create novel software solutions  algorithms  and models in order to provide insight into our banking and transaction data ajor strengths include a unique interdisciplinary skill set that combines technical and quantitative abilities with analytical and creative talents  the ability to manage multiple and diffuse streams of work under exacting schedules  and a diverse  yet rich  range of professional experience rrently working with  AWS  Java  Map Reduce  Python  R  SQL   NOSQL  Scala  Shell Scripting  Spark  
333,Pratham is a young talented professional in the field of Data Science e manages  large and complex data sets of a business model and its integration with tools and platforms like R   Python  Machine Learning  Sql  Hive  Excel  Access and Tableau Reporting to investigate and visualize the business data in order to produce actionable insights  is a University of Texas at Arlington alumni with a background in Management  nformation Systems resently  he is working as a Data Analyst Scientist with HP  nc for HPS Quality and Analytics  where he analyse and report HP s worldwide printers and supplies warranty data reviously  he worked as a Big Data Engineer intern at Walt Disney and as a full time Programmer Analyst at Miracle Software Systems om past he has always been actively seeking to build a more engaging life  he had partaken in extra co curricular activities and singing events beyond his professional interest  and his passion for music sustains forever onstantly seeking avenues to plunge into student activity he was Cultural Head for  ndian Cultural Council at University of Texas  Arlington e was awarded with assistantship and fee waiver by the Department of  nformation Systems at University of Texas Arlington for his consistent academic performance and his contribution to the bachelor students and professors as a tutor and proctor  past  Pratham pursued his undergraduation from Maharshi Dayanand University  ndia in the field of Computer Science Engineering and also worked  as a Data Analyst and Software Developer with Netlink  N  T and  nditest Technologies  is proactively looking forward to work with an organization which deals with a team of passionate  nfluencers  Managers  Data Scientists  Technical Architects  Developers  Designers  Analysts and Testers   
334,  am a Data Scientist with experience in Machine Learning  Data wrangling and Natural Language Processing y interests lie in finding interesting  actionable insights from real world data and building        machine learning algorithms to solve problems in the industry   
335,Passionate  T Professional with skills in Business  ntelligence  Business Analysis  Data Analysis  and Financial Analysis reativity  Passion  Dedication defines my work aking atmosphere creative with creative ideas developed my key interest in business analysis ghly motivated in logical and analysis thinking am currently majoring in  nformation Technology Management at the University of Texas at Dallas and concentration in Business  ntelligence y keen interest in Business  ntelligence has led me to explore the new techniques and tools used in the world of analytics  Deep curiosity in finance and investment helped me earn the Global Financial Market Associate Certification from Bombay Stock Exchange BSE  uring the five months of internship at Sourcecode Technologies   ndia    developed my professional skills which include working in a team  meeting time deadlines  problem solving ability  broad look over problem and enthusiasm for work aking the work atmosphere interesting is my passion CHN CAL SK LLSProgramming  SQL  SAS  Python  Pandas  Numpy  Scipy  Scikit  Tensorflow   R  HQL  Pig Latin  C  JavaData Mining Tools  SAS Enterprise Miner  SPSS  Rapid Miner  Advanced Excel  SAP HANA  MATLABBig Data Tools  Hadoop  Hive  Pig  Spark  HBase  MapR  Sqoop  FlumeDatabases  MS Access  SQL Server  SS S  SSRS  SSAS   MySQLData Visualization  Tableau  PowerB   Qlikview  Design Studio  SAP Lumira  Web  ntelligence  MS VisioProject Skills  Requirement Analysis  Business Analysis  Customer Analysis  MS OfficeKey Strength   Business Analysis    Data Analysis  Leadership   Public Speaking  Communication   People Management   Strategic Planning   Problem SolvingContact Mail  pushkarmandot gmail mNumber   1 682 252 8226  
336,Computer Scientist with focus on Data Science with experience applying advanced statistics  data mining and machine learning algorithms to make data driven predictions using programming        languages as R  Python  including Numpy  Pandas  Scikit learn  Matplotlib  Seaborn   and SQL   
337,Health  nformatics Professional passionate about health data exploration  finding meaningful and hidden patterns using statistical big data  and machine learning tools pecializing on the following skills ▪ Python  Jupyter Notebook  Pandas  Numpy SciPy  Matplotlib  Plot   SK Learn  Flask   R  RStudio  Caret  ggplot2 ▪ Amazon Redshift and PostgresSQL  MySQL  No SQL ETL Development ▪ Feature engineering and Feature Selection▪ Deep Learning Models Tensor Flow & Neural Network▪ Linear and logistic regression  random forests classification  Decision trees pca  k means clustering knn Support Vector Machine  Naive Bayes Classification▪ Big Data Platforms and ecosystem  AWS EC2 &S3  Hadoop  Hive Spark▪ Streaming Platform  Apache Kafka ▪ Bash Scripting and Computing▪ Virtualization  Docker  AWS EC2 and ECR  Virtualbox▪ Health Data Standards  HL7  XML  JSON  LO NC  SNOMED   CD 9 & 10 codes  CPT  HCPCS  Rev Code   
338,Machine Learning Statistic Modeling  Predictive Modeling  Data Analytics  Data Modeling  Data Architecture  Data Analysis  Data Mining  Text Mining and Natural Language Processing  NLP   Artificial  ntelligence algorithms  Business  ntelligence  Analytics Models  like Decision Trees  Linear & Logistic Regression  Hadoop  Hive  P G   Python  Spark  Scala  MS Excel  SQL  
339, nterested in mucking around in and extracting actionable  so what s from large datasets rimary tools  Python for manipulation  visualization  analysis   modeling  and ETLs  various SQL syntaxes for data extraction and some manipulation  typically Excel   Google Sheets or Slides for wider dissemination perience  brand strategy and product to market consulting engagements with Accenture  digital campaign development   optimization with OgilvyOne  many things data and business with Squarespace  building models  data  business  and predictive  and analyzing their outputs   
340,  design and implement statistical and econometric models  crafting cutting edge machine learning algorithms to mine and make sense of data  enjoy creating visualizations to present my findings y main tools of the trade are Python  e   Pandas  Numpy  Scikit Learn  StatsModels  Matplotlib  Seaborn   R  SQL  PostgreSQL  MySQL  SQLite    Spark PySpark and SPSS or my side projects    collect my data through AP s or by conducting experiments in labs and on Amazon Mechanical Turk  
341,Experience in mathematical modeling and programming  statistical analysis  predictive modeling  time series forecasting and Machine Learning ilding prediction models to predict the business objectives there by assessing the risk of not meeting the business goalsBuilding models on Classification Analysis such as Logistic Regression  Linear Discriminant Analysis ilding Non Linear Classification models such as Mixture Discriminant Analysis  Quadratic Discriminant Analysis  Regularized Discriminant Analysis  Neural Network  Flexible Discriminant Analysis  Support Vector Machine  K Nearest Neighbours  Naive Bayes n Linear Classification with Decision Trees such as Classification and Regression Trees  CART   C4  PART  Bagging CART  Random Forest  Gradient Boosted Machine  Boosted C5 ata mining techniques such as Principle Component Analysis  PCA   Association rules and recommendation Systems  cluster analysis Extensive knowledge of Time Series forecasting theory model pertise in Time Series Model based techniques like Linear Regression  Auto Regressive models  AR MA  logistics Regression & Econometric models pertise in Time Series Data Driven techniques like Naïve Forecast  Smoothing Neural Networks ilt time series models using AR MA methodologyExpertise in Supervised and Unsupervised Learning Techniques xt mining  sentiment analysis and Natural Language Processing NLP  ccessfully delivered couple of initiatives   mplementation & development  on Big Data Analytics and large data processing using Hadoop ecosystem perience in column family based Databases HBase Proficient in development methodologies such as Agile  Scrum and Waterfall oven ability to learn quickly and apply new technologies novative and enthusiastic ceived appreciation and recognition from all previous employers rked on R  Tableau  SQL  XL miner and familiar with  Risk  
342,  run NYC Data Science Academy and SupStat Analytics  nc  am a data scientist who has many years of practical experience in data technologies and the analytics industry  after developing my expertise        in statistical methodologies and software and in a variety of programming languages such as R  Pyth     
343,Sina Kashuk is a Senior Data Scientist at UBER  with experience in remote sensing and machine learning  as well as computer vision  time series and geospatial analysis e applied data science to resilience efforts for several years at DataKind  NYU & CUNY e especially enjoys creating interactive and accessible ways to visualize data lthough he started his data science career coding on his Commodore 64 at age 7  his Ph  is in Civil Engineering from NYU School of Engineering   
344,Solutions oriented data scientist with 8  years of experience delivering actionable insights via data analytics and advanced data driven methods ontributed in propelling up to $11 million in savings assionate about translating advanced statistical analyses into business applicable material  utgoing  detail oriented and proficient at building and maintaining professional relationships eeking a position that is responsible for driving growth  gains in customer loyalty satisfaction and record breaking improvements in profitability Quantifiable Results   Modeled solutions and supported company initiatives to reduce avg all handling time   resulting in $11 million savings he team won BOLD technology award for the 1st quarter in 2017 Reported and developed interactive visualizations to showcase app download metrics by  subscribers enhancing product use enabling $3 million approx savings Conceptualized product saving ~5% on call handling time and enhancing end user experience  using predictive techniques which would have direct positive impact on the organization sprofits pertise                                                                     Big Data Machine learningBusiness Analysis Project ManagementData Visualization DashboardsPredictive ModellingSQLSCRUMRequirement AnalysisBusiness  ntelligenceSoftware Knowledge PythonSpotfireTableauR and HadoopMS Office  
345,5  years of experience as Software Engineer Data Scientist with expertise in data science  data analytics  big data  data warehousing and machine learning Please Contact me at        sumangadhalapati gmail m  Tel  9804746942  
346,A Data Science Enthusiast and Kaggler   
347,Swati is a data scientist who finds great joy in discovering new insights  by analytically employing data  to make informed decisions he finds opportunities in complex problems and creates data driven        solutions Swati earned her PhD in Electrical Engineering from Rensselaer Polytechnic  nstitute  and      
348,  m a senior data scientist at Airbnb ’ve worked in payments  business travel  China growth and Experiences eviously   worked at Moody s Analytics CRE group  developing Canadian commercial real estate credit risk model he role involved close collaboration between our clients  research team and application developers  
349,Engineer who enjoys learning new tools and techniques—software  algorithms  and statistical models       Loves Census data  geospatial analysis  and open AP s   
350,  really like machine learning   data science  urban farming  renovating my house  and riding bikes     
351,A former lead engineer having 8 years of experience in Data Management projects with newly acquired skills  an insatiable intellectual curiosity  and the ability to mine hidden business insights located within large sets of structured  semi structured and unstructured data tensive experience in Text Analytics  developing different Statistical Machine Learning  Data Mining solutions to various business problems and generating data visualizations using R  Python and Tableau signing of Physical Data Architecture of New system engines ands on experience in implementing LDA  Naive Bayes and skilled in Random Forests  Decision Trees  Linear and Logistic Regression  SVM  Clustering  neural networks  Principle Component Analysis and good knowledge on Recommender Systems roficient in Statistical Modeling and Machine Learning techniques  Linear  Logistics  Decision Trees  Random Forest  SVM  K Nearest Neighbors  Bayesian  XG Boost  in Forecasting  Predictive Analytics  Segmentation methodologies  Regression based models  Hypothesis testing  Factor analysis  PCA  Ensembles perience with varied forms of practical data  including  mage  Speech  Text  Video  Motion capture & other high dimensional data Working on Predictive Analytics using primary tool as R and also works on tools like Weka  Rapid miner etc pertise in building an effective development & deployment of predictive models using R scripts tablished a standard architecture for big data analytics in partnership with big data development team pertise in transforming business requirements into analytical models  designing algorithms  building models  developing data mining and reporting solutions that scales across massive volume of structured and unstructured data rong experience in Software Development Life Cycle  SDLC  including Requirements Analysis  Design Specification and Testing as per Cycle in both Waterfall and Agile methodologies  
352,As a data scientist at Facebook    investigate user behavior and analyze ecosystem trends  with an eye towards improving the Facebook experience for the people who use it every day reviously   worked in analytics at the New York Times  where   helped develop new products including Times  nsider and an Opinion app  began my career as a quantitative analyst at JPMorgan  where   built algorithmic stock selection models and risk assessment tools  and   hold a BA in math from Dartmouth m particularly interested in advising startups that work on health  education  and inequality  
353,Vikram Rao is a data scientist focused on network traffic management at Facebook e employs a diverse set of techniques drawn from econometrics  machine learning  and experimental design to        address novel problems related to content delivery networks and domain name system targeting   
355,My passion is to solve social problems  have worked with Government agencies and Non profits urrently    m working at Vistar on Geospatial and Big Data problems have done my graduate degree in Applied Urban Science &  nformatics from NYU y skills include     Applied machine learning  geospatial analysis  big data analysis  Analytics and Data Science experience spread across 1 year and 2 years of software engineering   Strong knowledge of statistical concepts to understand what data represents  sophisticated tools to visualize the data and machine learning  spatial analysis techniques to make predictions and decisions  Explaining complex data science concepts in non technical and business terms  Undying interest in the intersection of Big Data  Social Sciences  and Applied Machine Learning end me an email at vishelar gmail m or connect with me through   shelar mGithub    s   github m vishelar   
358,  am a Data Scientist who is passionate about the power of empirical analysis  have a background synthesizing complex market and economic data and am adept at establishing computational tests of data driven hypotheses  visualizing data  and ensuring that technical conclusions are communicated clearly  m a pragmatist    ve used a variety of technologies to get things done  but they re primarily means to sound analysis FTWARE   R  Python  SQL  STATA  bash  git  LaTeX   
360,  love challenges be it of any kind y passion for tackling analytical problems has led me to explore diverse areas ranging from problems in CFD Computational Fluid Dynamics  to ones in Traffic Congestion  course of time and my studies    discovered my passion for Data Science nd now    am looking to make a career out of it rrently    am a graduate student  focusing on Operations Research  in the Department of  ndustrial and Systems Engineering at the University at Buffalo kills   Languages C    C  Python VBA SQL    Web   HTML CSS Javascript Django framework   AngularJS NodeJS  Database  MySQL Mongodb  Statistical Softwares  Matlab  R   Optimization Software  Gurobi  Cplex  Visualization Softwae  Tableau  Cloud Computing &Big data technologies AWS  Spark Hadoop  Hive  
361,Data science  data analyst and data science engineer Specialties   Statistical Analysis Data mining on Grid System  Hadoop  Web based dashboard system Database  Mysql  Search Competitive Analysis with Statistical Methodologies  Programming Language  C C    Assembler  x86   Visual Basic  R  MATLAB  PHP  Java  Python  P G   Optimization of software on T  DSP Speeding up of algorithms based on data structure and hardware embedded coding like  ntel MMX and SSE technology  Test and debug experience with visual studio  DE and Purify anguage  English  Japanese   
362,  am interested in modeling and analyzing large scaled data  with a focus on marketing and operations Hands on experience in processing large scale data  experienced with Statistical Learning techniques  including Cross Validation  Bootstrap  Support Vector Machine  Random Forest and Gradient Boosting  Specialties  Optimization  Statistical Analysis  Stochastic Modeling  Simulation  Dynamic Programming  Queueing Theory  Game Theory  Knowledge  SupplyChainManagement   nventory Optimization  Profitability Forecasting  Revenue Management  Proven records of extracting compelling patterns from data and advising on the implications for products  processes and decisions  Programming skills  R  Python  Matlab  C C    SAS  SQL   
